,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,343.859375
17,298.953125
18,120.484375
19,59.234375
20,40.65625
21,33.390625
22,28.90625
23,25.15625
24,22.015625
25,19.28125
26,16.984375
27,14.234375
28,12.5
29,10.46875
30,8.828125
31,6.9375
32,5.40625
33,3.9375
34,2.453125
35,1.59375
36,0.296875
37,-0.6875
38,-1.953125
39,-2.6875
40,-3.9375
41,-4.703125
42,-5.640625
43,-6.09375
44,-7.09375
45,-7.4375
46,-8.140625
47,-8.390625
48,-8.96875
49,-9.5
50,-10.15625
51,-10.203125
52,-10.515625
53,-10.734375
54,-10.96875
55,-11.109375
56,-11.5
57,-11.421875
58,-11.71875
59,-11.640625
60,-11.734375
61,-12.078125
62,-12.0
63,-11.671875
64,-11.984375
65,-11.65625
66,-11.515625
67,-11.625
68,-11.546875
69,-11.375
70,-11.1875
71,-11.125
72,-11.046875
73,-10.953125
74,-10.703125
75,-10.859375
76,-10.65625
77,-10.734375
78,-10.4375
79,-10.734375
80,-10.484375
81,-10.15625
82,-10.046875
83,-10.203125
84,-10.0
85,-10.015625
86,-9.734375
87,-9.6875
88,-9.421875
89,-9.4375
90,-9.484375
91,-9.109375
92,-9.203125
93,-8.625
94,-8.828125
95,-8.90625
96,-8.578125
97,-8.796875
98,-8.78125
99,-8.53125
100,-8.546875
101,-8.4375
102,-8.5
103,-8.578125
104,-8.3125
105,-8.15625
106,-8.25
107,-8.09375
108,-7.90625
109,-7.8125
110,-7.9375
111,-7.90625
112,-7.796875
113,-7.671875
114,-7.453125
115,-7.3125
116,-7.078125
117,-7.078125
118,-6.984375
119,-6.921875
120,-6.953125
121,-6.859375
122,-6.71875
123,-6.875
124,-6.890625
125,-6.890625
126,-6.765625
127,-6.578125
128,-6.421875
129,-6.328125
130,-6.484375
131,-6.40625
132,-6.09375
133,-6.046875
134,-6.109375
135,-5.78125
136,-5.875
137,-5.921875
138,-5.703125
139,-5.625
140,-5.5625
141,-5.59375
142,-5.5625
143,-5.421875
144,-5.203125
145,-5.375
146,-5.421875
147,-5.25
148,-5.421875
149,-5.234375
150,-5.390625
151,-5.453125
152,-5.359375
153,-5.1875
154,-5.21875
155,-5.140625
156,-5.03125
157,-4.921875
158,-4.859375
159,-5.015625
160,-5.015625
161,-4.921875
162,-4.578125
163,-4.6875
164,-4.875
165,-4.859375
166,-4.90625
167,-4.890625
168,-4.84375
169,-4.640625
170,-4.65625
171,-4.671875
172,-4.8125
173,-4.734375
174,-4.5
175,-4.484375
176,-4.578125
177,-4.53125
178,-4.5
179,-4.484375
180,-4.40625
181,-4.34375
182,-4.421875
183,-4.125
184,-4.125
185,-4.40625
186,-4.0625
187,-4.15625
188,-3.9375
189,-4.21875
190,-4.171875
191,-3.96875
192,-4.0625
193,-4.140625
194,-4.15625
195,-4.109375
196,-3.828125
197,-4.0625
198,-3.796875
199,-3.828125
200,-3.796875
201,-3.734375
202,-3.84375
203,-3.6875
204,-3.625
205,-3.515625
206,-3.828125
207,-3.625
208,-3.8125
209,-3.625
210,-3.484375
211,-3.625
212,-3.609375
213,-3.59375
214,-3.59375
215,-3.640625
216,-3.578125
217,-3.34375
218,-3.25
219,-3.390625
220,-3.453125
221,-3.5
222,-3.421875
223,-3.453125
224,-3.21875
225,-3.09375
226,-3.078125
227,-3.125
228,-3.53125
229,-3.171875
230,-3.171875
231,-3.0
232,-3.078125
233,-3.328125
234,-3.296875
235,-3.296875
236,-3.171875
237,-3.171875
238,-2.953125
239,-3.0625
240,-2.859375
241,-3.046875
242,-3.234375
243,-3.03125
244,-2.875
245,-3.03125
246,-2.859375
247,-2.875
248,-2.734375
249,-2.734375
250,-2.96875
251,-2.734375
252,-2.84375
253,-2.71875
254,-2.828125
255,-2.765625
256,-3.0
257,-2.96875
258,-3.03125
259,-2.921875
260,-2.75
261,-2.578125
262,-2.71875
263,-2.78125
264,-2.796875
265,-2.65625
266,-2.421875
267,-2.53125
268,-2.296875
269,-2.640625
270,-2.53125
271,-2.671875
272,-2.671875
273,-2.390625
274,-2.296875
275,-2.546875
276,-2.609375
277,-2.53125
278,-2.359375
279,-2.09375
280,-2.453125
281,-2.546875
282,-2.53125
283,-2.34375
284,-2.3125
285,-2.34375
286,-2.4375
287,-2.265625
288,-2.140625
289,-1.984375
290,-2.21875
291,-2.15625
292,-2.234375
293,-2.4375
294,-2.328125
295,-2.265625
296,-2.140625
297,-2.0625
298,-2.109375
299,-2.015625
300,-2.328125
301,-1.84375
302,-2.1875
303,-2.109375
304,-2.140625
305,-2.171875
306,-2.1875
307,-1.90625
308,-2.046875
309,-2.09375
310,-2.15625
311,-2.4375
312,-2.09375
313,-2.09375
314,-2.109375
315,-2.359375
316,-2.28125
317,-2.0625
318,-1.96875
319,-2.34375
320,-2.3125
321,-2.296875
322,-2.140625
323,-2.21875
324,-1.890625
325,-2.0
326,-1.984375
327,-1.96875
328,-2.015625
329,-2.015625
330,-2.078125
331,-2.1875
332,-2.0625
333,-2.328125
334,-2.140625
335,-2.25
336,-2.1875
337,-2.0625
338,-2.171875
339,-2.015625
340,-1.9375
341,-1.859375
342,-1.84375
343,-1.78125
344,-1.84375
345,-1.875
346,-1.828125
347,-1.75
348,-1.8125
349,-2.03125
350,-1.765625
351,-1.46875
352,-1.609375
353,-1.71875
354,-1.546875
355,-1.4375
356,-1.78125
357,-1.796875
358,-1.765625
359,-1.890625
360,-1.703125
361,-1.890625
362,-1.75
363,-1.625
364,-1.578125
365,-1.8125
366,-1.5
367,-1.265625
368,-1.390625
369,-1.765625
370,-1.65625
371,-1.75
372,-1.609375
373,-1.796875
374,-1.65625
375,-1.671875
376,-1.96875
377,-2.0625
378,-1.84375
379,-1.859375
380,-1.734375
381,-1.59375
382,-1.6875
383,-1.65625
384,-1.6875
385,-1.703125
386,-1.734375
387,-1.703125
388,-1.703125
389,-1.5625
390,-1.578125
391,-1.546875
392,-1.59375
393,-1.453125
394,-1.609375
395,-1.546875
396,-1.59375
397,-1.328125
398,-1.5625
399,-1.734375
400,-1.609375
401,-1.5
402,-1.3125
403,-1.59375
404,-1.546875
405,-1.3125
406,-1.546875
407,-1.453125
408,-1.09375
409,-1.03125
410,-1.234375
411,-1.265625
412,-1.296875
413,-1.3125
414,-1.4375
415,-1.46875
416,-1.265625
417,-1.328125
418,-1.625
419,-1.671875
420,-1.46875
421,-1.546875
422,-1.484375
423,-1.515625
424,-1.671875
425,-1.5
426,-1.453125
427,-1.5
428,-1.625
429,-1.34375
430,-1.453125
431,-1.171875
432,-1.34375
433,-1.3125
434,-1.375
435,-1.09375
436,-1.15625
437,-1.3125
438,-1.203125
439,-1.34375
440,-1.5625
441,-1.328125
